"periods","numsignificant","meanbeta","propsignificant","case"
5,46,0.0144786173699831,0.092,"t-smalleffect"
6,50,0.0189675501759519,0.1,"t-smalleffect"
7,67,0.0288886869606436,0.134,"t-smalleffect"
8,95,0.027143828728787,0.19,"t-smalleffect"
9,113,0.033693119453615,0.226,"t-smalleffect"
10,113,0.0348384764901638,0.226,"t-smalleffect"
11,139,0.0373551830353443,0.278,"t-smalleffect"
12,155,0.0381314546209858,0.31,"t-smalleffect"
13,165,0.040522957752301,0.33,"t-smalleffect"
14,204,0.0428964647042635,0.408,"t-smalleffect"
15,209,0.0443672096645477,0.418,"t-smalleffect"
16,218,0.0448910216648793,0.436,"t-smalleffect"
17,224,0.0440575716225149,0.448,"t-smalleffect"
18,231,0.0469550513922415,0.462,"t-smalleffect"
19,261,0.0478193107981644,0.522,"t-smalleffect"
20,282,0.0485691619045551,0.564,"t-smalleffect"
